beta,alpha,tau,seed,rep,community_id,community_size,degree_opinion_corr
0.5,0.0,0.0,10979521178164063229,12,6,118,-0.5666264081815606
0.5,0.0,0.0,10979521178164063229,12,7,68,-0.620148383246433
0.5,0.0,0.0,10979521178164063229,12,8,138,-0.5920859050823519
0.5,0.0,0.0,16859135337426458730,13,1,120,-0.4932901904205257
0.5,0.0,0.0,16859135337426458730,13,2,101,-0.5624388112536235
0.5,0.0,0.0,16859135337426458730,13,3,119,-0.6061766605033645
0.5,0.0,0.0,16859135337426458730,13,4,138,-0.5141299070389267
0.5,0.0,0.0,16859135337426458730,13,5,70,-0.693979068913748
0.5,0.0,0.0,16859135337426458730,13,6,109,-0.6020866244598534
0.5,0.0,0.0,16859135337426458730,13,7,124,-0.6184210808142223
0.5,0.0,0.0,16859135337426458730,13,8,75,-0.6294867761662151
0.5,0.0,0.0,16859135337426458730,13,9,61,-0.5836206958480652
0.5,0.0,0.0,4290777073069492860,14,1,79,-0.7611984313526227
0.5,0.0,0.0,4290777073069492860,14,2,67,-0.623019031697896
0.5,0.0,0.0,4290777073069492860,14,3,134,-0.6147514843603649
0.5,0.0,0.0,4290777073069492860,14,4,129,-0.6089042827126755
0.5,0.0,0.0,4290777073069492860,14,5,122,-0.48089762895727833
0.5,0.0,0.0,4290777073069492860,14,6,140,-0.6312816383799267
0.5,0.0,0.0,4290777073069492860,14,7,119,-0.57533754017179
0.5,0.0,0.0,4290777073069492860,14,8,109,-0.4919504307251579
0.5,0.0,0.0,10181417216544739087,15,1,109,-0.6118167698217943
0.5,0.0,0.0,10181417216544739087,15,2,59,-0.49140259943009984
0.5,0.0,0.0,10181417216544739087,15,3,99,-0.6462932083917743
0.5,0.0,0.0,10181417216544739087,15,4,117,-0.5712904935348198
0.5,0.0,0.0,10181417216544739087,15,5,113,-0.6507834361978357
0.5,0.0,0.0,10181417216544739087,15,6,115,-0.5751310103608468
0.5,0.0,0.0,10181417216544739087,15,7,100,-0.5600204178825284
0.5,0.0,0.0,10181417216544739087,15,8,96,-0.5753995515331302
0.5,0.0,0.0,10181417216544739087,15,9,103,-0.5777431289488786
0.5,0.0,0.0,16065103629723380447,16,1,107,-0.6855706410323651
0.5,0.0,0.0,16065103629723380447,16,2,96,-0.6515540827573707
0.5,0.0,0.0,16065103629723380447,16,3,58,-0.5963142549850852
0.5,0.0,0.0,16065103629723380447,16,4,102,-0.5381605083725498
0.5,0.0,0.0,16065103629723380447,16,5,89,-0.621251281955912
0.5,0.0,0.0,16065103629723380447,16,6,90,-0.5000283132720906
0.5,0.0,0.0,16065103629723380447,16,7,103,-0.5851352331189479
0.5,0.0,0.0,16065103629723380447,16,8,94,-0.620494174184133
0.5,0.0,0.0,16065103629723380447,16,9,107,-0.5947610452787555
0.5,0.0,0.0,16065103629723380447,16,10,59,-0.5374245299707638
0.5,0.0,0.0,3500491470203468561,17,1,90,-0.6073651044771883
0.5,0.0,0.0,3500491470203468561,17,2,80,-0.6118189438056312
0.5,0.0,0.0,3500491470203468561,17,3,93,-0.5530547445546303
0.5,0.0,0.0,3500491470203468561,17,4,108,-0.5612376398937505
0.5,0.0,0.0,3500491470203468561,17,5,105,-0.5619153994333133
0.5,0.0,0.0,3500491470203468561,17,6,58,-0.6031204376271034
0.5,0.0,0.0,3500491470203468561,17,7,83,-0.6543943957382421
0.5,0.0,0.0,3500491470203468561,17,8,101,-0.5003547255942098
0.5,0.0,0.0,3500491470203468561,17,9,95,-0.6217849938199335
0.5,0.0,0.0,3500491470203468561,17,10,88,-0.6026186764398019
0.5,0.0,0.0,9374260979984687139,18,1,107,-0.633717278499351
0.5,0.0,0.0,9374260979984687139,18,2,71,-0.6571966108955817
0.5,0.0,0.0,9374260979984687139,18,3,104,-0.6447992848715498
0.5,0.0,0.0,9374260979984687139,18,4,91,-0.6024007780575146
0.5,0.0,0.0,9374260979984687139,18,5,120,-0.4911783976360463
0.5,0.0,0.0,9374260979984687139,18,6,90,-0.5268515401566924
0.5,0.0,0.0,9374260979984687139,18,7,114,-0.5340348667464223
0.5,0.0,0.0,9374260979984687139,18,8,106,-0.6156826569982538
0.5,0.0,0.0,9374260979984687139,18,9,111,-0.5834213078783356
0.5,0.0,0.0,15257345713342035328,19,1,104,-0.6159553299330425
0.5,0.0,0.0,15257345713342035328,19,2,94,-0.5816203307533447
0.5,0.0,0.0,15257345713342035328,19,3,107,-0.6513630680264068
0.5,0.0,0.0,15257345713342035328,19,4,71,-0.49028199504030834
0.5,0.0,0.0,15257345713342035328,19,5,91,-0.5771586372729672
0.5,0.0,0.0,15257345713342035328,19,6,113,-0.6596633670015912
0.5,0.0,0.0,15257345713342035328,19,7,125,-0.6303412420311206
0.5,0.0,0.0,15257345713342035328,19,8,105,-0.5904738812056193
0.5,0.0,0.0,15257345713342035328,19,9,96,-0.5722317212640161
