trial,sigma,beta,min_increment,max_increment,S_alpha0,S_alpha_end,success
39,0.730847830380712,0.3853153156682555,0.030468251697646498,0.07806572433933473,0.26310706163518843,0.5158104618253538,true
40,1.0425768876215653,0.22486920237115282,0.043488195405916974,0.06042850850401982,0.21910332965495904,0.4819743392648918,true
41,0.727209116405182,0.6782121277673449,0.05105049372517678,0.1271545319270746,0.46090478813821856,0.8963563718782508,true
42,1.4246264080319402,1.7204044450678067,0.29827398936617744,0.9316763381000652,2.2880775428891718,5.3618125630766205,true
43,1.4335574499577575,0.21398720208138908,0.049518220363303,0.11889772362568723,0.28716049951387806,0.6819592341412487,true
44,1.235425745839576,2.969621422067217,0.7657603225421923,1.1052219139772057,3.4298589216128845,8.016088164020399,true
45,0.9512468503915853,1.8237715872467615,0.26969429771411146,0.48963760501489606,1.6258116930323292,3.5164202682627677,true
46,1.3957799135855207,0.49971386835555187,0.09367773169547,0.25603341350911113,0.6507624629201385,1.519310808757409,true
47,1.232259090471981,2.317547466905345,0.5416687251339276,0.8503829572091015,2.671525191065961,6.10102372305879,true
48,1.2095581524412218,2.831917681323496,0.5350880875997532,1.0210446140197331,3.1944531390110957,7.2558516727661875,true
49,1.1987740436896657,0.4532504871188683,0.09983657732705875,0.16098169760249115,0.5084108424276749,1.1596886595019815,true
50,1.2314070968379922,0.22942302797512606,0.05612676972719832,0.08454689623356426,0.26400234823279695,0.6093607886770861,true
51,0.7996877130894056,1.9138245139873429,0.18763416303213454,0.43533616827914656,1.4261201663402954,2.895015026704388,true
52,0.7678844732216491,2.512749669250612,0.2190262736725952,0.5128660434960373,1.8069311718317265,3.624230816269156,true
53,1.27471957765869,2.3472242985257425,0.5762211736422049,0.948248772079868,2.8095902459704365,6.491498671880298,true
54,0.7758843284687439,0.5598449314381064,0.04802669918907848,0.11320411342014225,0.4058470858851109,0.8026116593447923,true
55,1.4382772233072283,2.0162686753331096,0.5755471730326454,1.0943437884670488,2.717398321634256,6.509427036208017,true
56,0.9246992517798269,2.997995275475537,0.40206369547898424,0.7474793181005426,2.590841339423247,5.598343858306956,true
57,1.090182623798729,0.6702981889661497,0.13477902939112008,0.18956582621735052,0.6828054515911189,1.5341633448503897,true
58,1.4465387234239255,1.3209894457233338,0.31867564177813845,0.7483451393803096,1.7781168583020261,4.257175775728593,true
59,1.4978129220427883,0.8708372363623702,0.20304832219550484,0.5336293965933232,1.2177891134173877,2.9002038312034237,true
60,0.7709213314286593,2.2533938605997914,0.189308043173388,0.4478286163493044,1.6257651830673576,3.2383017276110486,true
